percentage,result,mz,rt,scan,max_intensity
10,0,[116.10703278 116.10710907],[444.924 446.165],[342 343],101823.32
20,0,[116.10703278 116.10710144],[444.924 447.473],[342 344],101823.32
30,0,[116.10703278 116.10693359],[444.924 448.714],[342 345],101823.32
40,0,[116.10703278 116.10701752],[444.924 449.954],[342 346],101823.32
50,0,[116.10703278 116.10697937],[444.924 451.194],[342 347],113985.0
60,0,[116.10703278 116.10697174],[444.924 452.543],[342 348],113985.0
70,0,[116.10703278 116.10699463],[444.924 453.785],[342 349],127818.28
80,0,[116.10703278 116.10695648],[444.924 455.025],[342 350],135867.73
90,0,[116.10703278 116.106987  ],[444.924 456.268],[342 351],135867.73
100,0,[116.10703278 116.10684204],[444.924 457.545],[342 352],135867.73
